scenario,method,repetition,seed,truth,estimate,se,ci_low,ci_high
good_overlap,naive,58,2084,2000.0,3385.954823861373,167.30294717460012,3058.041047399157,3713.868600323589
good_overlap,linear,58,2084,2000.0,2462.935729318291,176.84940150950067,2116.31090235967,2809.5605562769124
good_overlap,hgb,58,2084,2000.0,2155.0047585833922,254.22062639544032,1656.7323308483292,2653.2771863184553
good_overlap,naive,59,2085,2000.0,3416.587433943695,159.57108426769685,3103.828108779009,3729.346759108381
good_overlap,linear,59,2085,2000.0,2710.4963006999,160.62936786025904,2395.6627396937924,3025.3298617060077
good_overlap,hgb,59,2085,2000.0,2182.937551280574,189.06865998822354,1812.362977703656,2553.5121248574924
good_overlap,naive,60,2086,2000.0,3291.354224697563,167.7547888165356,2962.554838617153,3620.153610777973
good_overlap,linear,60,2086,2000.0,2670.980357092105,155.54952052165535,2366.1032968696604,2975.8574173145494
good_overlap,hgb,60,2086,2000.0,2384.966344615808,162.4646767533401,2066.5355781792614,2703.3971110523544
good_overlap,naive,61,2087,2000.0,3478.226167744453,170.41482915044168,3144.2131026095876,3812.2392328793185
good_overlap,linear,61,2087,2000.0,2624.4017535792705,161.39659320166805,2308.0644309040013,2940.7390762545397
good_overlap,hgb,61,2087,2000.0,2197.027586297365,243.42599961346806,1719.9126270549675,2674.142545539762
good_overlap,naive,62,2088,2000.0,3175.958641848947,165.84451117880195,2850.903399938495,3501.013883759399
good_overlap,linear,62,2088,2000.0,2506.2290157101806,165.71505558816395,2181.4275067573794,2831.030524662982
good_overlap,hgb,62,2088,2000.0,1966.5549972129704,205.39720205672097,1563.9764811817972,2369.1335132441436
good_overlap,naive,63,2089,2000.0,3086.837191141093,167.70067076842903,2758.1438764349723,3415.530505847214
good_overlap,linear,63,2089,2000.0,2409.850525377424,169.28209635176495,2078.057616527965,2741.6434342268835
good_overlap,hgb,63,2089,2000.0,2088.053069194897,206.0844600068468,1684.1275275814774,2491.9786108083167
good_overlap,naive,64,2090,2000.0,3579.4945557960596,169.29600055534365,3247.674394707586,3911.314716884533
good_overlap,linear,64,2090,2000.0,2710.119041270689,159.70295443873025,2397.1012505707777,3023.1368319706007
good_overlap,hgb,64,2090,2000.0,2325.797535501751,194.54472947447744,1944.4898657317754,2707.105205271727
good_overlap,naive,65,2091,2000.0,3553.9298984380457,170.29744675138676,3220.1469028053275,3887.712894070764
good_overlap,linear,65,2091,2000.0,2732.955055903461,160.35158952749356,2418.6659404295738,3047.2441713773483
good_overlap,hgb,65,2091,2000.0,2143.209957046819,199.922999963998,1751.3608771173829,2535.059036976255
good_overlap,naive,66,2092,2000.0,3002.5833159647773,161.49443440565182,2686.0542245296997,3319.112407399855
good_overlap,linear,66,2092,2000.0,2316.846677697854,154.78927787490116,2013.4596930630478,2620.23366233266
good_overlap,hgb,66,2092,2000.0,1865.481159569647,181.35261998982594,1510.030024389588,2220.9322947497058
good_overlap,naive,67,2093,2000.0,3244.1672986643443,162.8537424854795,2924.9739633928048,3563.360633935884
good_overlap,linear,67,2093,2000.0,2345.412954624732,180.27529025263962,1992.0733857295581,2698.7525235199055
good_overlap,hgb,67,2093,2000.0,1667.3160826005274,204.23809462662854,1267.0094171323353,2067.6227480687194
good_overlap,naive,68,2094,2000.0,3509.756587338068,166.15909215981728,3184.0847667048265,3835.4284079713098
good_overlap,linear,68,2094,2000.0,2698.6628258423875,162.2232690431011,2380.7052185179095,3016.6204331668655
good_overlap,hgb,68,2094,2000.0,2234.357113341269,210.6854545324996,1821.4136224575695,2647.300604224968
good_overlap,naive,69,2095,2000.0,3544.661226386237,172.9158641002058,3205.7461327498336,3883.5763200226406
good_overlap,linear,69,2095,2000.0,2654.123226493985,170.93826291838255,2319.0842311739552,2989.1622218140146
good_overlap,hgb,69,2095,2000.0,2146.5346812146536,207.80066087022064,1739.245385909021,2553.823976520286
good_overlap,naive,70,2096,2000.0,3279.3666418395314,157.06437815050532,2971.520460664541,3587.2128230145217
good_overlap,linear,70,2096,2000.0,2670.754179321424,161.15067944089583,2354.898847617268,2986.60951102558
good_overlap,hgb,70,2096,2000.0,2078.3236835967573,186.0506052843219,1713.6644972394863,2442.982869954028
good_overlap,naive,71,2097,2000.0,3179.189231766605,167.51303077271297,2850.8636914520876,3507.514772081123
good_overlap,linear,71,2097,2000.0,2448.367129618382,183.9908040862731,2087.7451536092867,2808.9891056274773
good_overlap,hgb,71,2097,2000.0,1932.498770622606,232.06749540515955,1477.6464796284931,2387.3510616167187
good_overlap,naive,72,2098,2000.0,3275.740117685844,163.27851967763556,2955.714219117678,3595.7660162540096
good_overlap,linear,72,2098,2000.0,2582.3371616776185,162.8677508781615,2263.116369956422,2901.557953398815
good_overlap,hgb,72,2098,2000.0,2010.831741235862,185.51580791839942,1647.2207577157992,2374.4427247559247
good_overlap,naive,73,2099,2000.0,3483.4258021588203,161.3867950797864,3167.107683802439,3799.7439205152014
good_overlap,linear,73,2099,2000.0,2639.515277907261,180.24890929769683,2286.2274156837752,2992.8031401307467
good_overlap,hgb,73,2099,2000.0,2114.3064618015233,179.61906781756912,1762.2530888790877,2466.3598347239586
good_overlap,naive,74,2100,2000.0,3419.8514714856374,159.75637437990144,3106.7289777010305,3732.973965270244
good_overlap,linear,74,2100,2000.0,2582.4991751240045,158.5509310256904,2271.7393503136514,2893.2589999343577
good_overlap,hgb,74,2100,2000.0,1900.0552296661247,314.3177821033659,1283.9923767435275,2516.118082588722
good_overlap,naive,75,2101,2000.0,3271.4447854990385,160.93219630853594,2956.017680734308,3586.871890263769
good_overlap,linear,75,2101,2000.0,2653.0828640457826,168.1513204528116,2323.506275958272,2982.659452133293
good_overlap,hgb,75,2101,2000.0,1860.1840779067327,321.014257908535,1230.996132406004,2489.3720234074613
good_overlap,naive,76,2102,2000.0,3526.874155110513,162.1598219344796,3209.040904118933,3844.707406102093
good_overlap,linear,76,2102,2000.0,2821.075493753605,156.94475001441978,2513.463783725342,3128.6872037818675
good_overlap,hgb,76,2102,2000.0,2474.3498914229835,171.98870740024378,2137.252024918506,2811.447757927461
good_overlap,naive,77,2103,2000.0,3191.6920576724633,168.90530436394687,2860.6376611191276,3522.746454225799
good_overlap,linear,77,2103,2000.0,2489.1796344963573,178.54746541673063,2139.226602279565,2839.1326667131493
good_overlap,hgb,77,2103,2000.0,2115.1967844036817,192.34138349148645,1738.2076727603683,2492.1858960469954
good_overlap,naive,78,2104,2000.0,3403.6235332668093,157.32549863805806,3095.2655559362156,3711.981510597403
good_overlap,linear,78,2104,2000.0,2645.448783708081,150.70283579986253,2350.0712255403505,2940.8263418758115
good_overlap,hgb,78,2104,2000.0,2375.336722978499,200.60975966671683,1982.141594031734,2768.531851925264
good_overlap,naive,79,2105,2000.0,3119.6118440759856,163.7279835840838,2798.7049962511815,3440.5186919007897
good_overlap,linear,79,2105,2000.0,2521.103327238362,174.15016026469235,2179.769013119565,2862.437641357159
good_overlap,hgb,79,2105,2000.0,1931.3149479213223,203.65061418311444,1532.159744122418,2330.4701517202266
good_overlap,naive,80,2106,2000.0,3426.6316709681196,166.7245233941149,3099.8516051156544,3753.411736820585
good_overlap,linear,80,2106,2000.0,2720.657337609685,198.6868346336951,2331.2311417276424,3110.0835334917274
good_overlap,hgb,80,2106,2000.0,2439.265620230965,191.04213421631474,2064.823037166988,2813.708203294942
good_overlap,naive,81,2107,2000.0,3752.049749560691,167.35103223348742,3424.041726383056,4080.057772738326
good_overlap,linear,81,2107,2000.0,2851.992958742946,163.82605571561623,2530.893889540338,3173.092027945554
good_overlap,hgb,81,2107,2000.0,2177.7167366035574,208.46976828793845,1769.115990759198,2586.3174824479165
good_overlap,naive,82,2108,2000.0,3493.5873092840384,164.19078068866014,3171.7733791342644,3815.4012394338124
good_overlap,linear,82,2108,2000.0,2734.314457665195,162.75924973220836,2415.3063281900663,3053.3225871403233
good_overlap,hgb,82,2108,2000.0,2342.944751712801,192.65054355584218,1965.3496863433504,2720.539817082252
good_overlap,naive,83,2109,2000.0,3275.5500509529656,165.38658421831735,2951.3923458850636,3599.7077560208677
good_overlap,linear,83,2109,2000.0,2466.571782545883,172.6982346560231,2128.0832426200777,2805.060322471688
good_overlap,hgb,83,2109,2000.0,1889.0143533502987,192.65621950690925,1511.4081631167567,2266.620543583841
good_overlap,naive,84,2110,2000.0,3245.384973838244,163.69427378907986,2924.5441972116478,3566.2257504648405
good_overlap,linear,84,2110,2000.0,2543.786615917362,150.3343799060104,2249.1312313015815,2838.442000533142
good_overlap,hgb,84,2110,2000.0,2246.2513280045614,207.53371448246625,1839.4852476189276,2653.017408390195
good_overlap,naive,85,2111,2000.0,3236.941359583504,165.06495073594817,2913.4140561410454,3560.4686630259625
good_overlap,linear,85,2111,2000.0,2286.747892379841,170.4793055639898,1952.6084534744207,2620.8873312852606
good_overlap,hgb,85,2111,2000.0,1902.1774659939208,202.43030836576355,1505.4140615970243,2298.9408703908175
good_overlap,naive,86,2112,2000.0,3455.7640227808424,163.57205015058784,3135.1628044856902,3776.3652410759946
good_overlap,linear,86,2112,2000.0,2681.5131977636665,161.02241189397282,2365.9092704514796,2997.1171250758534
good_overlap,hgb,86,2112,2000.0,2277.9395974112344,174.07873847597557,1936.7452699983223,2619.1339248241466
